identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
valkyries-dev.wnba.com,URL,,true,true,,,,critical,,2025-08-21 16:33:45 UTC,2025-08-21 16:33:45 UTC
valkyries-qa.wnba.com,URL,,true,true,,,,critical,,2025-08-21 16:33:45 UTC,2025-08-21 16:33:45 UTC
valkyries.wnba.com,URL,,true,true,,,,critical,,2025-08-21 16:33:45 UTC,2025-08-21 16:33:45 UTC
wings-dev.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:45 UTC,2025-08-21 16:33:45 UTC
wings-qa.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:45 UTC,2025-08-21 16:33:45 UTC
wings.wnba.com,URL,,true,true,high,high,high,critical,,2025-08-21 16:33:45 UTC,2025-08-21 16:33:45 UTC
dev.stats.2kleague.nba.com,URL,,false,false,high,high,high,critical,,2025-10-13 14:47:12 UTC,2025-10-13 14:47:12 UTC
payment.nba.com,URL,,false,false,high,high,high,critical,,2025-10-13 18:26:21 UTC,2025-10-13 18:26:21 UTC
evergent.com,URL,,false,false,,,,critical,,2025-10-13 18:26:53 UTC,2025-10-13 18:26:53 UTC
nbafoundation-dev.nba.com,URL,,false,false,high,high,high,critical,,2025-11-05 19:04:07 UTC,2025-11-05 19:04:07 UTC
nbafoundation-qa.nba.com,URL,,false,false,high,high,high,critical,,2025-11-05 19:04:07 UTC,2025-11-05 19:04:07 UTC
nbafoundation.nba.com,URL,,false,false,high,high,high,critical,,2025-11-05 19:04:07 UTC,2025-11-05 19:04:07 UTC
leaguepass.wnba.com,URL,,false,false,,,,critical,,2026-01-06 16:03:14 UTC,2026-01-06 16:03:14 UTC
smm.events.nba.com,URL,,false,false,not_defined,not_defined,not_defined,critical,,2026-01-30 14:36:55 UTC,2026-01-30 14:36:55 UTC
